title_text,date_of_publishing,article_full_url,image_urls
Austin-based Verifiable raises $3 million for its API toolkit to verify healthcare credentials,"6:00 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/austin-based-verifiable-raises-3-million-for-its-api-toolkit-to-verify-healthcare-credentials/,"https://techcrunch.com/wp-content/uploads/2020/09/GettyImages-1211152561.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/09/GettyImages-1211152561.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/09/GettyImages-1211152561.jpg?w=430&h=230&crop=1 430w"
"Vectary, a design platform for 3D and AR, raises $7.3M from EQT and BlueYard","5:19 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/vectary-a-design-platform-for-3d-and-ar-raises-7-3m-from-eqt-and-blueyard/,"https://techcrunch.com/wp-content/uploads/2019/04/UKBlackTech-stock15.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2019/04/UKBlackTech-stock15.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2019/04/UKBlackTech-stock15.jpg?w=430&h=230&crop=1 430w"
Perch raises $123.5M to grow its stable of D2C brands that sell on Amazon,"5:07 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/perch-raises-123-5m-to-grow-its-stable-of-d2c-brands-that-sell-on-amazon/,"https://techcrunch.com/wp-content/uploads/2020/10/flathead-straws.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/flathead-straws.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/flathead-straws.jpg?w=430&h=230&crop=1 430w"
Math learning platform Knowledgehook raises £13.5M Series A to expand globally,"4:37 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/math-learning-platform-knowledgehook-raises-13-5m-series-a-to-expand-globally/,"https://techcrunch.com/wp-content/uploads/2020/10/Travis-Ratnam-and-Qamar-Qureshi-4.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/Travis-Ratnam-and-Qamar-Qureshi-4.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/Travis-Ratnam-and-Qamar-Qureshi-4.jpg?w=430&h=230&crop=1 430w"
ShopUp raises $22.5 million to digitize millions of mom-and-pop shops in Bangladesh,"6:18 am IST, October 20, 2020",https://techcrunch.com/2020/10/19/shopup-raises-22-5-million-to-digitize-millions-of-mom-and-pop-shops-in-bangladesh/,"https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-148935210.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-148935210.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-148935210.jpg?w=430&h=230&crop=1 430w"
Juniper Networks acquires Boston-area AI SD-WAN startup 128 Technology for $450M,"1:11 am IST, October 20, 2020",https://techcrunch.com/2020/10/19/juniper-networks-acquires-boston-area-ai-sd-wan-startup-128-technology-for-450m/,"https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1196161943.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1196161943.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1196161943.jpg?w=430&h=230&crop=1 430w"
Pimloc gets $1.8M for its AI-based visual search and redaction tool,"7:32 pm IST, October 19, 2020",https://techcrunch.com/2020/10/19/pimloc-gets-1-8m-for-its-ai-based-visual-search-and-redaction-tool/,"https://techcrunch.com/wp-content/uploads/2020/10/Screenshot-2020-10-19-at-16.00.45.png?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/Screenshot-2020-10-19-at-16.00.45.png?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/Screenshot-2020-10-19-at-16.00.45.png?w=430&h=230&crop=1 430w"
Singapore tech-based real estate agency Propseller raises $1.2 million seed round,"6:21 pm IST, October 19, 2020",https://techcrunch.com/2020/10/19/singapore-tech-based-real-estate-agency-propseller-raises-1-2-million-seed-round/,"https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-672618186.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-672618186.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-672618186.jpg?w=430&h=230&crop=1 430w"
Austin-based Verifiable raises $3 million for its API toolkit to verify healthcare credentials,"6:00 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/austin-based-verifiable-raises-3-million-for-its-api-toolkit-to-verify-healthcare-credentials/,"https://techcrunch.com/wp-content/uploads/2020/09/GettyImages-1211152561.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/09/GettyImages-1211152561.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/09/GettyImages-1211152561.jpg?w=430&h=230&crop=1 430w"
"Vectary, a design platform for 3D and AR, raises $7.3M from EQT and BlueYard","5:19 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/vectary-a-design-platform-for-3d-and-ar-raises-7-3m-from-eqt-and-blueyard/,"https://techcrunch.com/wp-content/uploads/2019/04/UKBlackTech-stock15.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2019/04/UKBlackTech-stock15.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2019/04/UKBlackTech-stock15.jpg?w=430&h=230&crop=1 430w"
Perch raises $123.5M to grow its stable of D2C brands that sell on Amazon,"5:07 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/perch-raises-123-5m-to-grow-its-stable-of-d2c-brands-that-sell-on-amazon/,"https://techcrunch.com/wp-content/uploads/2020/10/flathead-straws.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/flathead-straws.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/flathead-straws.jpg?w=430&h=230&crop=1 430w"
Math learning platform Knowledgehook raises £13.5M Series A to expand globally,"4:37 pm IST, October 20, 2020",https://techcrunch.com/2020/10/20/math-learning-platform-knowledgehook-raises-13-5m-series-a-to-expand-globally/,"https://techcrunch.com/wp-content/uploads/2020/10/Travis-Ratnam-and-Qamar-Qureshi-4.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/Travis-Ratnam-and-Qamar-Qureshi-4.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/Travis-Ratnam-and-Qamar-Qureshi-4.jpg?w=430&h=230&crop=1 430w"
ShopUp raises $22.5 million to digitize millions of mom-and-pop shops in Bangladesh,"6:18 am IST, October 20, 2020",https://techcrunch.com/2020/10/19/shopup-raises-22-5-million-to-digitize-millions-of-mom-and-pop-shops-in-bangladesh/,"https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-148935210.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-148935210.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-148935210.jpg?w=430&h=230&crop=1 430w"
Juniper Networks acquires Boston-area AI SD-WAN startup 128 Technology for $450M,"1:11 am IST, October 20, 2020",https://techcrunch.com/2020/10/19/juniper-networks-acquires-boston-area-ai-sd-wan-startup-128-technology-for-450m/,"https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1196161943.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1196161943.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-1196161943.jpg?w=430&h=230&crop=1 430w"
Pimloc gets $1.8M for its AI-based visual search and redaction tool,"7:32 pm IST, October 19, 2020",https://techcrunch.com/2020/10/19/pimloc-gets-1-8m-for-its-ai-based-visual-search-and-redaction-tool/,"https://techcrunch.com/wp-content/uploads/2020/10/Screenshot-2020-10-19-at-16.00.45.png?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/Screenshot-2020-10-19-at-16.00.45.png?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/Screenshot-2020-10-19-at-16.00.45.png?w=430&h=230&crop=1 430w"
Singapore tech-based real estate agency Propseller raises $1.2 million seed round,"6:21 pm IST, October 19, 2020",https://techcrunch.com/2020/10/19/singapore-tech-based-real-estate-agency-propseller-raises-1-2-million-seed-round/,"https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-672618186.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-672618186.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-672618186.jpg?w=430&h=230&crop=1 430w"
Lawmatics raises $2.5M to help lawyers market themselves,"1:49 am IST, October 17, 2020",https://techcrunch.com/2020/10/16/lawmatics-seed-funding/,"https://techcrunch.com/wp-content/uploads/2020/08/GettyImages-178765974.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/08/GettyImages-178765974.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/08/GettyImages-178765974.jpg?w=430&h=230&crop=1 430w"
"Datto sets initial IPO price range, indicating a valuation of around $4B","9:13 pm IST, October 16, 2020",https://techcrunch.com/2020/10/16/datto-sets-initial-ipo-price-range-indicating-a-valuation-of-around-4b/,"https://techcrunch.com/wp-content/uploads/2020/03/GettyImages-88035468.jpeg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/03/GettyImages-88035468.jpeg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/03/GettyImages-88035468.jpeg?w=430&h=230&crop=1 430w"
Crypto-driven marketplace Zora raises $2M to build a sustainable creator economy,"8:48 pm IST, October 16, 2020",https://techcrunch.com/2020/10/16/crypto-driven-marketplace-zora-raises-2m-to-build-a-sustainable-creator-economy/,"https://techcrunch.com/wp-content/uploads/2020/10/Screen-Shot-2020-10-15-at-3.27.10-PM.png?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/Screen-Shot-2020-10-15-at-3.27.10-PM.png?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/Screen-Shot-2020-10-15-at-3.27.10-PM.png?w=430&h=230&crop=1 430w"
Future raises $24M Series B for its $150/mo workout coaching app amid at-home fitness boom,"6:30 pm IST, October 16, 2020",https://techcrunch.com/2020/10/16/future-raises-24m-series-b-for-its-150-mo-exercise-app-amid-at-home-fitness-boom/,"https://techcrunch.com/wp-content/uploads/2020/10/App-Hero-1.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/App-Hero-1.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/App-Hero-1.jpg?w=430&h=230&crop=1 430w"
Atlanta-based Speedscale now has $2.2 million more to grow its API test automation business,"6:16 pm IST, October 16, 2020",https://techcrunch.com/2020/10/16/atlanta-based-speedscale-now-has-2-2-million-more-to-grow-its-api-test-automation-business/,"https://techcrunch.com/wp-content/uploads/2016/05/shutterstock_302406581.png?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2016/05/shutterstock_302406581.png?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2016/05/shutterstock_302406581.png?w=430&h=230&crop=1 430w"
Audio learning startup Knowable switches to a $9.99-per-month subscription model,"1:17 am IST, October 16, 2020",https://techcrunch.com/2020/10/15/knowable-subscriptions/,"https://techcrunch.com/wp-content/uploads/2020/10/knowable-techcrunch.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/knowable-techcrunch.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/knowable-techcrunch.jpg?w=430&h=230&crop=1 430w"
Small business payments and marketing startup Fivestars raises $52.5M,"12:37 am IST, October 16, 2020",https://techcrunch.com/2020/10/15/fivestars-series-d/,"https://techcrunch.com/wp-content/uploads/2020/10/TropiBowls_Fivestars_02.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/TropiBowls_Fivestars_02.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/TropiBowls_Fivestars_02.jpg?w=430&h=230&crop=1 430w"
Temporal raises $18.75M for its microservices orchestration platform,"10:01 pm IST, October 15, 2020",https://techcrunch.com/2020/10/15/temporal-raises-18-75m-for-its-microservices-orchestration-platform/,"https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-999656160.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-999656160.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-999656160.jpg?w=430&h=230&crop=1 430w"
Whisper announces $35M Series B to change hearing aids with AI and subscription model,"9:30 pm IST, October 15, 2020",https://techcrunch.com/2020/10/15/whisper-announces-35m-series-b-to-change-hearing-aids-with-ai-and-subscription-model/,"https://techcrunch.com/wp-content/uploads/2020/10/P2I9404-2.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/P2I9404-2.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/P2I9404-2.jpg?w=430&h=230&crop=1 430w"
Lawmatics raises $2.5M to help lawyers market themselves,"1:49 am IST, October 17, 2020",https://techcrunch.com/2020/10/16/lawmatics-seed-funding/,"https://techcrunch.com/wp-content/uploads/2020/08/GettyImages-178765974.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/08/GettyImages-178765974.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/08/GettyImages-178765974.jpg?w=430&h=230&crop=1 430w"
"Datto sets initial IPO price range, indicating a valuation of around $4B","9:13 pm IST, October 16, 2020",https://techcrunch.com/2020/10/16/datto-sets-initial-ipo-price-range-indicating-a-valuation-of-around-4b/,"https://techcrunch.com/wp-content/uploads/2020/03/GettyImages-88035468.jpeg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/03/GettyImages-88035468.jpeg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/03/GettyImages-88035468.jpeg?w=430&h=230&crop=1 430w"
Crypto-driven marketplace Zora raises $2M to build a sustainable creator economy,"8:48 pm IST, October 16, 2020",https://techcrunch.com/2020/10/16/crypto-driven-marketplace-zora-raises-2m-to-build-a-sustainable-creator-economy/,"https://techcrunch.com/wp-content/uploads/2020/10/Screen-Shot-2020-10-15-at-3.27.10-PM.png?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/Screen-Shot-2020-10-15-at-3.27.10-PM.png?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/Screen-Shot-2020-10-15-at-3.27.10-PM.png?w=430&h=230&crop=1 430w"
Future raises $24M Series B for its $150/mo workout coaching app amid at-home fitness boom,"6:30 pm IST, October 16, 2020",https://techcrunch.com/2020/10/16/future-raises-24m-series-b-for-its-150-mo-exercise-app-amid-at-home-fitness-boom/,"https://techcrunch.com/wp-content/uploads/2020/10/App-Hero-1.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/App-Hero-1.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/App-Hero-1.jpg?w=430&h=230&crop=1 430w"
Atlanta-based Speedscale now has $2.2 million more to grow its API test automation business,"6:16 pm IST, October 16, 2020",https://techcrunch.com/2020/10/16/atlanta-based-speedscale-now-has-2-2-million-more-to-grow-its-api-test-automation-business/,"https://techcrunch.com/wp-content/uploads/2016/05/shutterstock_302406581.png?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2016/05/shutterstock_302406581.png?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2016/05/shutterstock_302406581.png?w=430&h=230&crop=1 430w"
Audio learning startup Knowable switches to a $9.99-per-month subscription model,"1:17 am IST, October 16, 2020",https://techcrunch.com/2020/10/15/knowable-subscriptions/,"https://techcrunch.com/wp-content/uploads/2020/10/knowable-techcrunch.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/knowable-techcrunch.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/knowable-techcrunch.jpg?w=430&h=230&crop=1 430w"
Small business payments and marketing startup Fivestars raises $52.5M,"12:37 am IST, October 16, 2020",https://techcrunch.com/2020/10/15/fivestars-series-d/,"https://techcrunch.com/wp-content/uploads/2020/10/TropiBowls_Fivestars_02.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/TropiBowls_Fivestars_02.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/TropiBowls_Fivestars_02.jpg?w=430&h=230&crop=1 430w"
Temporal raises $18.75M for its microservices orchestration platform,"10:01 pm IST, October 15, 2020",https://techcrunch.com/2020/10/15/temporal-raises-18-75m-for-its-microservices-orchestration-platform/,"https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-999656160.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-999656160.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/GettyImages-999656160.jpg?w=430&h=230&crop=1 430w"
Whisper announces $35M Series B to change hearing aids with AI and subscription model,"9:30 pm IST, October 15, 2020",https://techcrunch.com/2020/10/15/whisper-announces-35m-series-b-to-change-hearing-aids-with-ai-and-subscription-model/,"https://techcrunch.com/wp-content/uploads/2020/10/P2I9404-2.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/P2I9404-2.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/P2I9404-2.jpg?w=430&h=230&crop=1 430w"
"Playbook, a fitness platform that puts creators first, raises $9.3 million","7:30 pm IST, October 14, 2020",https://techcrunch.com/2020/10/14/playbook-a-fitness-platform-that-puts-creators-first-raises-9-3-million/,"https://techcrunch.com/wp-content/uploads/2020/10/playbook.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/playbook.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/playbook.jpg?w=430&h=230&crop=1 430w"
Dataloop raises $11M Series A round for its AI data management platform,"6:30 pm IST, October 14, 2020",https://techcrunch.com/2020/10/14/dataloop-raises-16m-for-its-ai-data-management-and-annotation-platform/,"https://techcrunch.com/wp-content/uploads/2020/10/team-photo.jpg?w=430&h=230&crop=1, https://techcrunch.com/wp-content/uploads/2020/10/team-photo.jpg?w=200&h=107&crop=1 200w, https://techcrunch.com/wp-content/uploads/2020/10/team-photo.jpg?w=430&h=230&crop=1 430w"
